index,genres,homepage,id,keywords,original_language,popularity,release_year,title,cast,director
2789,Drama Romance,,17187,,en,6.796079,2002,The Emperor's Club,Kevin Kline Emile Hirsch Embeth Davidtz Rob Morrow Edward Herrmann,Michael Hoffman
2790,Action Thriller Crime Romance,,319,father son relationship film producer mexican standoff loss of father cocaine,en,35.268557,1993,True Romance,Christian Slater Patricia Arquette Michael Rapaport Bronson Pinchot Gary Oldman,Tony Scott
2791,Romance Science Fiction,,59457,,en,7.453347,2010,Womb,Eva Green Matt Smith Lesley Manville Peter Wight Istv\u00e1n L\u00e9n\u00e1rt,Benedek Fliegauf
2792,Crime Drama Mystery,,9504,robbery office shop estate agent company,en,13.939054,1992,Glengarry Glen Ross,Al Pacino Jack Lemmon Alec Baldwin Alan Arkin Ed Harris,James Foley
2793,Crime Drama Thriller,http://www.killerinsideme.com/,37414,sheriff crime fighter,en,11.892615,2010,The Killer Inside Me,Casey Affleck Kate Hudson Jessica Alba Ned Beatty Tom Bower,Michael Winterbottom
2794,Drama Fantasy Horror Thriller,,6217,shotgun attack lingerie held captive incest,en,5.69872,1982,Cat People,Nastassja Kinski Malcolm McDowell John Heard Ruby Dee Ed Begley Jr.,Paul Schrader
2795,Horror Mystery Thriller,,26688,female nudity graduation serial killer blood slasher,en,8.780512,2009,Sorority Row,Rumer Willis Briana Evigan Jamie Chung Leah Pipes Teri Andrzejewski,Stewart Hendler
2796,Adventure Drama Romance,,43867,kidnapping coronation villain kingdom heir to the throne,en,4.021389,1937,The Prisoner of Zenda,Ronald Colman Madeleine Carroll Raymond Massey Mary Astor Douglas Fairbanks Jr.,John Cromwell
2797,Comedy Romance Drama,http://www.larsandtherealgirl-themovie.com/,6615,garage lone wolf dying and death loss delusion,en,15.817096,2007,Lars and the Real Girl,Ryan Gosling Emily Mortimer Paul Schneider Kelli Garner Lauren Ash,Craig Gillespie
2798,War Drama,,14574,nationalism concentration camp world war ii gas chamber nazis,en,34.821223,2008,The Boy in the Striped Pyjamas,Asa Butterfield Jack Scanlon Vera Farmiga David Thewlis Rupert Friend,Mark Herman
2799,Drama Crime Music,,16,individual dancing usa robbery factory worker,en,22.022228,2000,Dancer in the Dark,Bj\u00f6rk Catherine Deneuve David Morse Peter Stormare Joel Grey,Lars von Trier
2800,Drama Romance,,39780,minister australia inheritance wager woman director,en,0.139384,1997,Oscar and Lucinda,Ralph Fiennes Cate Blanchett Ciar\u00e1n Hinds Tom Wilkinson Richard Roxburgh,Gillian Armstrong
2801,Crime Drama,,21612,suicide bedroom strike great depression trade union,en,2.950618,1996,The Funeral,Christopher Walken Chris Penn Annabella Sciorra Isabella Rossellini Vincent Gallo,Abel Ferrara
2802,Comedy Drama Romance,http://www.solitarymanmovie.com/,36691,infidelity bankrupt loneliness comedy family drama,en,7.497306,2009,Solitary Man,Michael Douglas Danny DeVito Jesse Eisenberg Susan Sarandon Mary-Louise Parker,Brian Koppelman
2803,Action Comedy Thriller,http://www.vivamachete.com/,23631,illegal immigration immigration law machete politician death of a child,en,26.396191,2010,Machete,Danny Trejo Michelle Rodriguez Jessica Alba Robert De Niro Lindsay Lohan,Robert Rodriguez
2804,Crime Comedy Drama,http://www.casinojack-movie.com/,45324,biography duringcreditsstinger,en,6.546037,2010,Casino Jack,Kevin Spacey Kelly Preston Hannah Endicott-Douglas Rachelle Lefevre Barry Pepper,George Hickenlooper
2805,Animation Adventure Family,,12144,vulkan loss of mother tyrannosaurus rex earthquake primitive time,en,28.670193,1988,The Land Before Time,Gabriel Damon Candace Hutson Judith Barsi Will Ryan Pat Hingle,Don Bluth
2806,Action Adventure Drama History War,,11658,archaeologist korean war north korea south korea air raid,ko,9.572705,2004,Tae Guk Gi: The Brotherhood of War,Jang Dong-gun Won Bin Lee Eun-ju Gong Hyung-jin Park Jeong-Woo,Kang Je-gyu
2807,Drama Family,http://www.theperfectgamemovie.com,56601,baseball sport based on true story family relationships,en,0.903529,2010,The Perfect Game,Clifton Collins Jr Cheech Marin Mois\u00e9s Arias Emilie de Ravin Jake T. Austin,William Dear
2808,Drama Horror Thriller,http://theexorcist.warnerbros.com/,9552,exorcism holy water religion and supernatural vomit christian,en,47.584643,1973,The Exorcist,Linda Blair Max von Sydow Ellen Burstyn Jason Miller Lee J. Cobb,William Friedkin
2809,Horror Thriller Adventure,http://www.jaws25.com/,578,fishing atlantic ocean bathing shipwreck police chief,en,50.152327,1975,Jaws,Roy Scheider Robert Shaw Richard Dreyfuss Lorraine Gary Murray Hamilton,Steven Spielberg
2810,Comedy Romance,,2105,graduation innocence coming of age teenager high school student,en,60.767168,1999,American Pie,Jason Biggs Chris Klein Thomas Ian Nicholas Alyson Hannigan Shannon Elizabeth,Chris Weitz
2811,Animation Comedy Drama Family,,126319,mouse musician friendship prejudice bear,fr,11.103202,2012,Ernest & Celestine,Anne-Marie Loop Lambert Wilson Pauline Brunner Patrice Melennec Brigitte Virtudes,St\u00e9phane Aubier
2812,Action Adventure Comedy,,10136,monk social worker wretch tibet demon,en,15.26213,1986,The Golden Child,Eddie Murphy Charles Dance Charlotte Lewis Victor Wong Peter Kwong,Michael Ritchie
2813,Comedy Romance,http://www.sonypictures.com/movies/thinklikeaman/,67660,advice love relationship ensemble cast duringcreditsstinger,en,6.035152,2012,Think Like a Man,Michael Ealy Jerry Ferrara Meagan Good Regina Hall Kevin Hart,Tim Story
2814,Comedy Drama,,10611,hairdresser shop neighbor debt meeting,en,10.297189,2002,Barbershop,Ice Cube Anthony Anderson Cedric the Entertainer Sean Patrick Thomas Eve,Tim Story
2815,Action Adventure Science Fiction Thriller,,154,uss enterprise genesis asteroid self sacrifice midlife crisis,en,22.434102,1982,Star Trek II: The Wrath of Khan,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Nicholas Meyer
2816,Comedy Mystery,,3049,dolphin mascot private detective pets,en,41.249004,1994,Ace Ventura: Pet Detective,Jim Carrey Sean Young Courteney Cox Tone Loc Dan Marino,Tom Shadyac
2817,Thriller Science Fiction,http://www.mgm.com/title_title.do?title_star=WARGAMES,860,video game artificial intelligence fbi cold war hacker,en,23.161754,1983,WarGames,Matthew Broderick Dabney Coleman Ally Sheedy John Wood Barry Corbin,John Badham
2818,Crime Drama Romance Thriller,,9281,corruption detective police brutality amish suspense,en,19.195399,1985,Witness,Harrison Ford Kelly McGillis Josef Sommer Lukas Haas Jan Rubes,Peter Weir
2819,Action Thriller War,http://www.actofvalor.com/,75674,submarine navy scuba diving heroism navy seal,en,21.958055,2012,Act of Valor,Roselyn S\u00e1nchez Emilio Rivera Nestor Serrano Gonzalo Menendez Alexander Asefa,Mike McCoy
2820,Music Drama Romance Crime,,9762,dancing new love dance baltimore art school,en,45.477802,2006,Step Up,Channing Tatum Jenna Dewan Damaine Radcliff De'Shawn Washington Mario,Anne Fletcher
2821,Animation Comedy,,3179,washington d.c. casino hotel sun television,en,12.60629,1996,Beavis and Butt-Head Do America,Mike Judge Bruce Willis Demi Moore Robert Stack Richard Linklater,Mike Judge
2822,Comedy Crime Romance,,184,airport underworld arms deal weapon police,en,40.631671,1997,Jackie Brown,Pam Grier Samuel L. Jackson Robert Forster Bridget Fonda Michael Keaton,Quentin Tarantino
2823,Comedy Adventure,http://www.haroldandkumar.com,13335,terrorist aftercreditsstinger duringcreditsstinger,en,26.219598,2008,Harold & Kumar Escape from Guantanamo Bay,John Cho Kal Penn Neil Patrick Harris Rob Corddry Jack Conley,Jon Hurwitz
2824,Science Fiction Drama Thriller,,76726,seattle telekinesis friendship loneliness outcast,en,64.504747,2012,Chronicle,Dane DeHaan Alex Russell Michael B. Jordan Michael Kelly Anna Wood,Josh Trank
2825,Music Drama Romance,,10269,studies music disguise unhappiness boys' school,en,3.389249,1983,Yentl,Barbra Streisand Mandy Patinkin Amy Irving Nehemiah Persoff Steven Hill,Barbra Streisand
2826,Family Fantasy Science Fiction Adventure Comedy,,36819,treasure map magic time travel titanic,en,14.779537,1981,Time Bandits,Sean Connery John Cleese Shelley Duvall Michael Palin Ian Holm,Terry Gilliam
2827,Action Adventure Comedy Drama Family,,17130,dancing women sex karaoke dream,en,6.703319,2002,Crossroads,Britney Spears Zoe Saldana Taryn Manning Anson Mount Dan Aykroyd,Tamra Davis
2828,Comedy Crime,,57214,vandalism high school swimming pool party teen movie,en,49.070321,2012,Project X,Oliver Cooper Jonathan Daniel Brown Thomas Mann Dax Flame Kirby Bliss Blanton,Nima Nourizadeh
2829,Drama History War,,11202,general world war ii normandy biography historical figure,en,21.933822,1970,Patton,George C. Scott Karl Malden Stephen Young Michael Strong Carey Loftin,Franklin J. Schaffner
2830,Horror Thriller,,9357,sexual abuse hotel room cheating supermarket penalty,en,20.624896,2002,One Hour Photo,Robin Williams Connie Nielsen Michael Vartan Erin Daniels Eriq La Salle,Mark Romanek
2831,Horror Science Fiction Thriller,,13812,quarantine remake tv reporter found footage virus,en,8.083995,2008,Quarantine,Jennifer Carpenter Steve Harris Jay Hernandez Johnathon Schaech Columbus Short,John Erick Dowdle
2832,Drama Horror Thriller,http://www.theeyethefilm.com,9030,sister sister relationship blindness and impaired vision eye operation eyesight dying and death,en,11.135734,2008,The Eye,Jessica Alba Alessandro Nivola Parker Posey Rade Serbedzija Fernanda Romero,David Moreau
2833,Comedy Family,,19084,,en,4.623609,2004,Johnson Family Vacation,Cedric the Entertainer Vanessa Williams Steve Harvey Shari Headley Shad Moss,Christopher Erskin
2834,Comedy,http://www.howhighmovie.com/,8386,carpet pimp harvard university joint cannabis,en,11.510281,2001,How High,Method Man Redman Obba Babatund\u00e9 Mike Epps Anna Maria Horsford,Jesse Dylan
2835,Comedy Family Fantasy Drama,,10437,holiday future musical past scrooge,en,15.085981,1992,The Muppet Christmas Carol,Michael Caine Don Austen Meredith Braun Don Austen Ed Sanders,Brian Henson
2836,Drama Romance,,1360,painter love of one's life disabled woman director,en,18.422327,2002,Frida,Salma Hayek Alfred Molina M\u00eda Maestro Patricia Reyes Sp\u00edndola Diego Luna,Julie Taymor
2837,Documentary Music,http://www.katyperry.com/movie/,101267,woman director,en,8.410688,2012,Katy Perry: Part of Me,Katy Perry Russell Brand Shannon Woodward Rachael Markarian Mia Moretti,Dan Cutforth
2838,Romance Drama,,222935,amsterdam based on novel support group cancer teenager,en,74.358971,2014,The Fault in Our Stars,Shailene Woodley Ansel Elgort Nat Wolff Laura Dern Sam Trammell,Josh Boone
2839,Drama Crime,,10220,gambling law compulsive gambling roulette gain,en,18.422008,1998,Rounders,Matt Damon John Turturro Gretchen Mol Goran Visnjic Edward Norton,John Dahl
2840,Drama Comedy,http://www.topfivemovie.com/,284296,comedian interview reporter movie star fianc\u00e9 fianc\u00e9e relationship,en,15.896312,2014,Top Five,Chris Rock Rosario Dawson J.B. Smoove Gabrielle Union Romany Malco,Chris Rock
2841,Horror Science Fiction,,31915,monster mutant toxic native american environmental,en,8.61659,1979,Prophecy,Talia Shire Robert Foxworth Armand Assante Richard Dysart Victoria Racimo,John Frankenheimer
2842,Horror Mystery Thriller,,11601,secret obsession paranoia grave haunted house,en,6.044161,1999,Stir of Echoes,Kevin Bacon Kathryn Erbe Illeana Douglas Kevin Dunn Conor O'Farrell,David Koepp
2843,Drama,,205220,mother washington d.c. journalist adoption forgiveness,en,29.019504,2013,Philomena,Judi Dench Steve Coogan Sophie Kennedy Clark Mare Winningham Barbara Jefford,Stephen Frears
2844,Comedy Drama,http://www.newline.com/properties/upsideofanger.html,11354,sex lie college funeral friendship,en,6.2464,2005,The Upside of Anger,Joan Allen Kevin Costner Erika Christensen Keri Russell Alicia Witt,Mike Binder
2845,Horror Drama Thriller Science Fiction,,16241,paraguay mengele nazi hunter third reich,en,5.315213,1978,The Boys from Brazil,Gregory Peck Laurence Olivier James Mason Lilli Palmer Uta Hagen,Franklin J. Schaffner
2846,Fantasy Romance Family Comedy,http://www.aquamarinemovie.com/,14191,female friendship mermaid teenager woman director,en,16.931846,2006,Aquamarine,Emma Roberts Joanna 'JoJo' Levesque Sara Paxton Jake McDorman Arielle Kebbel,Elizabeth Allen Rosenbaum
2847,Drama Mystery Romance,,286565,friendship high school teenager classmate based on young adult novel,en,64.610671,2015,Paper Towns,Nat Wolff Cara Delevingne Justice Smith Austin Abrams Halston Sage,Jake Schreier
2848,Comedy,,26710,birth expectant mother fatherhood baby born woman director,en,4.480167,2004,My Baby's Daddy,Eddie Griffin Anthony Anderson Michael Imperioli Method Man Paula Jai Parker,Cheryl Dunye
2849,Drama Adventure,,129670,montana small town dementia aging road trip,en,29.223881,2013,Nebraska,Bruce Dern Will Forte Bob Odenkirk June Squibb Stacy Keach,Alexander Payne
2850,Horror Comedy Thriller,,9059,prostitute key jesus christ chosen one god,en,7.710797,1995,Tales from the Crypt: Demon Knight,Billy Zane William Sadler Jada Pinkett Smith Brenda Bakke CCH Pounder,Ernest R. Dickerson
2851,Comedy Family Fantasy Science Fiction,,34549,,en,1.081822,2001,Max Keeble's Big Move,Alex D. Linz Zena Grey Nora Dunn Larry Miller Josh Peck,Tim Hill
2852,Comedy Drama,http://www.youngadultmovie.com/,57157,jealousy dark comedy writer divorce alcoholic,en,16.183746,2011,Young Adult,Charlize Theron Patton Oswalt Patrick Wilson Elizabeth Reaser Collette Wolfe,Jason Reitman
2853,Action Thriller Crime,,1948,poison helicopter assassin nudity hitman,en,47.992817,2006,Crank,Jason Statham Amy Smart Jose Pablo Cantillo Efren Ramirez Dwight Yoakam,Brian Taylor
2854,Comedy Romance,,28353,sex party friends player,en,1.20245,1997,Def Jam's How to Be a Player,Bill Bellamy Lark Voorhies Bernie Mac Elise Neal,Lionel C. Martin
2855,Comedy Drama Romance,,46889,female protagonist relationship divorce brooklyn bridge,en,0.700792,1998,Living Out Loud,Holly Hunter Danny DeVito Queen Latifah Martin Donovan Rachael Leigh Cook,Richard LaGravenese
2856,Comedy Drama Romance,,38093,woman director,en,10.409253,2010,Just Wright,Queen Latifah Common Paula Patton James Pickens Jr. Phylicia Rash\u0101d,Sanaa Hamri
2857,Drama,,14976,sister independent film maid of honor,en,14.345428,2008,Rachel Getting Married,Anne Hathaway Rosemarie DeWitt Sebastian Stan Roslyn Ruff Bill Irwin,Jonathan Demme
2858,Romance Crime Drama,,11027,sex adultery confession based on novel obsession,en,6.803763,1981,The Postman Always Rings Twice,Jack Nicholson Jessica Lange John Colicos Michael Lerner Anjelica Huston,Bob Rafelson
2859,Drama Romance,,3635,painter biography painting maid,en,19.944479,2003,Girl with a Pearl Earring,Scarlett Johansson Colin Firth Cillian Murphy Tom Wilkinson Judy Parfitt,Peter Webber
2860,Action Drama History War Adventure,http://www.dasboot.com,387,terror submarine based on novel atlantic ocean gibraltar,de,26.967494,1981,Das Boot,J\u00fcrgen Prochnow Herbert Gr\u00f6nemeyer Klaus Wennemann Hubertus Bengsch Martin Semmelrogge,Wolfgang Petersen
2861,Comedy,,6020,sorority cross dressing university t shirt sorority girl,en,3.444542,2002,Sorority Boys,Barry Watson Michael Rosenbaum Harland Williams Melissa Sagemiller Tony Denman,Wallace Wolodarsky
2862,Comedy Drama Science Fiction,,122906,london england father son relationship time travel,en,74.817641,2013,About Time,Domhnall Gleeson Rachel McAdams Bill Nighy Lydia Wilson Lindsay Duncan,Richard Curtis
2863,Adventure Drama Action Romance,,9550,martial arts swordplay government rebellion dagger,zh,21.064082,2004,House of Flying Daggers,Takeshi Kaneshiro Andy Lau Zhang Ziyi Song Dandan Zhao Hongfei,Zhang Yimou
2864,Drama Thriller,,60599,cover-up hedge fund,en,16.40512,2012,Arbitrage,Richard Gere Susan Sarandon Tim Roth Brit Marling Monica Raymund,Nicholas Jarecki
2865,Science Fiction Thriller,http://www.projectalmanac.com/,227719,time travel time machine teenager found footage,en,32.940597,2015,Project Almanac,Jonny Weston Virginia Gardner Sofia Black-D'Elia Sam Lerner Allen Evangelista,Dean Israelite
2866,Drama History Music,,14299,woman director,en,13.427427,2008,Cadillac Records,Adrien Brody Jeffrey Wright Beyonc\u00e9 Knowles Gabrielle Union Columbus Short,Darnell Martin
2867,Action Comedy,,19419,,en,5.359381,2000,Screwed,Norm Macdonald Dave Chappelle Danny DeVito Elaine Stritch Daniel Benzali,Scott Alexander
2868,Action Thriller Science Fiction,,12088,prison cyborg married couple future dystopia,en,8.708229,1992,Fortress,Christopher Lambert Kurtwood Smith Loryn Locklin Clifton Collins Jr Jeffrey Combs,Stuart Gordon
2869,Comedy Drama,,14799,,en,4.330428,2006,For Your Consideration,Catherine O'Hara Harry Shearer Parker Posey Christopher Moynihan John Michael Higgins,Christopher Guest
2870,Drama Comedy,,9466,exzentrik independent film reporter ex-wife spectacle,en,7.594593,1998,Celebrity,Kenneth Branagh Judy Davis Joe Mantegna Leonardo DiCaprio Charlize Theron,Woody Allen
2871,Drama Comedy,,7510,gay sister sister relationship wife husband relationship 1970s becoming an adult,en,4.770195,2006,Running with Scissors,Annette Bening Brian Cox Joseph Cross Joseph Fiennes Evan Rachel Wood,Ryan Murphy
2872,Comedy Romance,,31246,musical,en,1.623338,2003,From Justin to Kelly,Kelly Clarkson Justin Guarini  Brandon Henschel Greg Siff Brian Dietzen,Robert Iscove
2873,Comedy,,61752,independent film neighbor masturbation phone sex actress,en,2.993939,1996,Girl 6,Theresa Randle Isaiah Washington Spike Lee Jenifer Lewis Debi Mazar,Spike Lee
2874,Mystery Thriller,,10944,eroticism suspense woman director,en,10.536092,2003,In the Cut,Meg Ryan Mark Ruffalo Jennifer Jason Leigh Nick Damici Heather Litteer,Jane Campion
2875,Drama Romance,,10362,love of one's life neighbor,en,8.290636,2008,Two Lovers,Joaquin Phoenix Gwyneth Paltrow Isabella Rossellini Vinessa Shaw Moni Moshonov,James Gray
2876,Comedy Drama,,14778,based on novel war veteran male friendship death of a friend friendship,en,3.603842,2001,Last Orders,Michael Caine Tom Courtenay David Hemmings Bob Hoskins Helen Mirren,Fred Schepisi
2877,Horror Drama Science Fiction,http://www.hostmovie.com/,1255,river mobile phone bravery archer daughter,ko,27.65527,2006,The Host,Song Kang-ho Park Hae-il Bae Doona Ko Ah-sung Byun Hee-bong,Bong Joon-ho
2878,Adventure Crime Thriller,,45226,,en,1.379643,1981,The Pursuit of D.B. Cooper,Robert Duvall Treat Williams Kathryn Harrold Ed Flanders Paul Gleason,Roger Spottiswoode
2879,Comedy Horror Thriller Western,,10212,winter cliff cooking cave nudity,en,9.164386,1999,Ravenous,Guy Pearce Robert Carlyle David Arquette Jeremy Davies Neal McDonough,Antonia Bird
2880,Comedy Drama,http://www.charliebartlett-themovie.com/,8669,depression suicide attempt medicine new love drug addiction,en,9.779444,2008,Charlie Bartlett,Anton Yelchin Robert Downey Jr. Hope Davis Kat Dennings Tyler Hilton,Jon Poll
2881,Comedy Drama,http://www.indigofilm.it/produzioni/film/61/la-grande-bellezza/,179144,alcohol rome vatican based on novel birthday,it,32.523573,2013,The Great Beauty,Toni Servillo Carlo Verdone Sabrina Ferilli Carlo Buccirosso Iaia Forte,Paolo Sorrentino
2882,Comedy Drama,,16857,independent film,en,2.24888,2002,The Dangerous Lives of Altar Boys,Emile Hirsch Kieran Culkin Jodie Foster Vincent D'Onofrio Jena Malone,Peter Care
2883,Drama Horror Thriller,http://www.foxsearchlight.com/stoker/,86825,mystery,en,27.322212,2013,Stoker,Mia Wasikowska Nicole Kidman Matthew Goode Dermot Mulroney Jacki Weaver,Park Chan-wook
2884,Fantasy Drama Science Fiction Romance,http://www.wkw2046.com/,844,free love hotel lovesickness sexuality kung fu,zh,12.664787,2004,2046,Tony Leung Chiu-Wai Zhang Ziyi Faye Wong Takuya Kimura Gong Li,Wong Kar-wai
2885,Crime Drama Romance,http://www.sonyclassics.com/marriedlife/,8060,sex jealousy lover (female) restaurant deceived husband,en,3.004432,2007,Married Life,Chris Cooper Pierce Brosnan Patricia Clarkson Rachel McAdams David Wenham,Ira Sachs
2886,Adventure Drama Family,http://dumamovie.warnerbros.com/,15907,adolescence loss of father lion south africa bullying,en,4.795244,2005,Duma,Alex Michaeletos Campbell Scott Mary Makhatho Nthabiseng Kenoshi Hope Davis,Carroll Ballard
2887,Drama Romance,http://www.ondinefilm.com,38448,alcohol mermaid wedding dress fishing net selkie,en,5.841285,2009,Ondine,Colin Farrell Alicja Bachleda-Curu\u015b Dervla Kirwan Alison Barry Marion O'Dwyer,Neil Jordan
2888,Crime Drama Thriller,http://www.office-kitano.co.jp/brother/index.html,327,brother brother relationship assassination culture clash war on drugs yakuza,ja,5.327714,2000,Brother,Takeshi Kitano Omar Epps Claude Maki Susumu Terajima Masaya Kato,Takeshi Kitano
2889,Comedy,,9260,safe remake heist inner city,en,3.582733,2002,Welcome to Collinwood,William H. Macy Isaiah Washington Sam Rockwell Michael Jeter Luis Guzm\u00e1n,Anthony Russo
2890,Comedy Drama,,61337,nun satire hospital half sister,en,2.678715,1997,Critical Care,James Spader Kyra Sedgwick Helen Mirren Albert Brooks Anne Bancroft,Sidney Lumet
2891,Thriller Drama Mystery,,13079,suspense,en,9.728143,2007,The Life Before Her Eyes,Uma Thurman Evan Rachel Wood Eva Amurri Martino Gabrielle Brennan Brett Cullen,Vadim Perelman
2892,Drama Romance,,89325,aftercreditsstinger,en,2.303865,2012,Darling Companion,Diane Keaton Kevin Kline Sam Shepard Dianne Wiest Richard Jenkins,Lawrence Kasdan
2893,Drama Thriller,http://www.trade-derfilm.de/,4170,usa sex brother sister relationship mexico city border,en,11.237374,2007,Trade,Kevin Kline Cesar Ramos Paulina Gaita\u0301n Alicja Bachleda-Curu\u015b Marco P\u00e9rez,Marco Kreuzpaintner
2894,War Drama,,41508,budapest hungary concentration camp world war ii,hu,1.906807,2005,Fateless,Marcell Nagy B\u00e9la D\u00f3ra B\u00e1lint P\u00e9ntek \u00c1ron Dim\u00e9ny P\u00e9ter Fancsikai,Lajos Koltai
2895,Comedy,,12479,wife husband relationship success author extramarital affair,en,2.695896,1999,Breakfast of Champions,Bruce Willis Albert Finney Nick Nolte Barbara Hershey Glenne Headly,Alan Rudolph
2896,Comedy Drama Thriller,,44555,,zh,1.416796,2009,"A Woman, a Gun and a Noodle Shop",Sun Honglei Xiao Shen Yang Yan Ni Ni Dahong Zhao Benshan,Zhang Yimou
2897,Thriller Science Fiction Mystery,http://www.miramax.com/cypher/,10133,double life undercover lie wife company,en,11.636883,2002,Cypher,Jeremy Northam Lucy Liu Nigel Bennett Timothy Webber David Hewlett,Vincenzo Natali
2898,Drama History War,http://www.cityoflifeanddeath.co.uk/,21345,war crimes mass murder war victim sino japanese war massacre,zh,4.793348,2009,City of Life and Death,Liu Ye Gao Yuanyuan Hideo Nakaizumi John Paisley Beverly Peckous,Lu Chuan
2899,Animation Family Action Adventure Comedy,,173931,,zh,0.738652,2011,Legend of a Rabbit,Jon Heder Tom Arnold Michael Clarke Duncan Rebecca Black Claire Geare,Lijun Sun
2900,Science Fiction,,61984,,ja,5.158067,2010,Space Battleship Yamato,Hiroyuki Ikeuchi Takuya Kimura Meisa Kuroki Toshir\u014d Yanagiba Tsutomu Yamazaki,Takashi Yamazaki
2901,War Drama,,50601,journalist interpreter georgia europe war zone,en,5.727602,2011,5 Days of War,Rupert Friend Val Kilmer Andy Garc\u00eda Dean Cain Emmanuelle Chriqui,Renny Harlin
2902,Horror,,26466,ocean florida autism key yacht,en,25.496926,2009,Triangle,Melissa George Liam Hemsworth Emma Lung Rachael Carpani Michael Dorman,Christopher Smith
2903,Drama,,345003,undercover insane asylum reporter,en,0.489271,2015,10 Days in a Madhouse,Caroline Barry Christopher Lambert Kelly LeBrock Julia Chantrey Alexandra Callas,Timothy Hines
2904,Drama,http://www.sonypictures.com/movies/heavenisforreal/,236751,based on novel faith based on true events,en,11.150261,2014,Heaven is for Real,Greg Kinnear Kelly Reilly Connor Corum Thomas Haden Church Jon Ted Wynne,Randall Wallace
2905,Thriller Crime,,107,gypsy bare knuckle boxing slang trailer park pig,en,53.595686,2000,Snatch,Jason Statham Brad Pitt Vinnie Jones Dennis Farina Benicio del Toro,Guy Ritchie
2906,Drama Romance,https://www.facebook.com/eastsidestorymovie,357837,dancing competition hotel florida dance teacher,cs,0.186234,2015,Dancin' It's On,Witney Carson Chehon Wespi-Tschopp Gary Daniels David Winters Jordan Clark,David Winters
2907,Drama Horror,,8913,coffin pet funeral head injury grief,en,20.747994,1989,Pet Sematary,Dale Midkiff Fred Gwynne Denise Crosby Brad Greenquist Michael Lombard,Mary Lambert
2908,Drama,,13889,,ja,2.930853,1993,Madadayo,Tatsuo Matsumura Ky\u00f4ko Kagawa Hisashi Igawa George Tokoro Masayuki Yui,Akira Kurosawa
2909,Drama,http://www.ctvint.fr/pages/fiche.asp?id=3583,18530,suspense,en,4.75919,2009,The Cry of the Owl,Paddy Considine Julia Stiles Caroline Dhavernas James Gilbert Karl Pruner,Jamie Thraves
2910,Drama History Romance,,358451,woman director,zh,0.753362,2015,A Tale of Three Cities,Lau Ching-Wan Tang Wei Qin Hailu Jing Boran ,Mabel Cheung
2911,Fantasy Horror Comedy,,927,holiday monster small town department store bars and restaurants,en,45.072136,1984,Gremlins,Zach Galligan Phoebe Cates Hoyt Axton Polly Holliday Dick Miller,Joe Dante
2912,Adventure Action Science Fiction,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,android galaxy hermit death star lightsaber,en,126.393695,1977,Star Wars,Mark Hamill Harrison Ford Carrie Fisher Peter Cushing Alec Guinness,George Lucas
2913,Comedy,http://www.dirtygrandpa.movie/,291870,grandfather grandson relationship grandfather road trip wedding retired,en,56.805781,2016,Dirty Grandpa,Zac Efron Robert De Niro Julianne Hough Aubrey Plaza Dermot Mulroney,Dan Mazer
2914,Drama Romance War,,907,love triangle nurse suicide attempt loss of family world war i,en,12.854853,1965,Doctor Zhivago,Omar Sharif Julie Christie Geraldine Chaplin Rod Steiger Alec Guinness,David Lean
2915,Adventure Crime Drama Thriller,,206563,brazilian drama thriller,pt,14.637357,2014,Trash,Rickson Tevez Eduardo Luis Gabriel Weinstein Rooney Mara Selton Mello,Stephen Daldry
2916,Comedy Drama Family Music Romance,http://disney.go.com/disneypictures/highschoolmusical3,11887,musical music high school coming of age teenager,en,21.801188,2008,High School Musical 3: Senior Year,Zac Efron Vanessa Hudgens Ashley Tisdale Lucas Grabeel Corbin Bleu,Kenny Ortega
2917,Drama,http://www.thefightermovie.com,45317,sport irish american documentary crew lowell massachusetts blue collar worker,en,31.019381,2010,The Fighter,Mark Wahlberg Christian Bale Amy Adams Melissa Leo Mickey O'Keefe,David O. Russell
2918,Action Comedy Documentary,,12094,wound disgust pain stunts stuntman,en,11.227087,2006,Jackass Number Two,Johnny Knoxville Bam Margera Steve-O Chris Pontius Ryan Dunn,Jeff Tremaine
2919,Comedy Drama,,10377,prison southern usa suspicion cousin court,en,19.231507,1992,My Cousin Vinny,Joe Pesci Ralph Macchio Marisa Tomei Mitchell Whitfield Fred Gwynne,Jonathan Lynn
2920,Drama,,249164,coma musician teenage girl car accident teenager,en,31.162838,2014,If I Stay,Chlo\u00eb Grace Moretz Jamie Blackley Liana Liberato Mireille Enos Stacy Keach,R.J. Cutler
2921,Action Comedy Crime,,256092,,en,3.94487,2014,Drive Hard,Thomas Jane John Cusack Zoe Ventoura Damien Garvey Christopher Morris,Brian Trenchard-Smith
2922,Comedy,,9942,baseball sport sabotage sombrero baseball field,en,7.559192,1989,Major League,Tom Berenger Charlie Sheen Corbin Bernsen Margaret Whitton James Gammon,David S. Ward
2923,Comedy Family Science Fiction,http://www.sttriniansmovie.co.uk/,10748,solidarity snake exhibit musical shenanigan,en,7.377587,2007,St. Trinian's,Talulah Riley Rupert Everett Gemma Arterton Colin Firth Lena Headey,Barnaby Thompson
